"","tract","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"335","17031020301","2015","Vehicle/Other",33,9,0,0,2,7
"336","17031020301","2016","PEDALCYCLIST",1,1,0,0,0,1
"337","17031020301","2016","PEDESTRIAN",2,2,0,0,2,0
"338","17031020301","2016","Vehicle/Other",34,6,0,0,0,6
"339","17031020301","2017","PEDALCYCLIST",1,1,0,0,1,0
"340","17031020301","2017","PEDESTRIAN",1,1,0,0,0,1
"341","17031020301","2017","Vehicle/Other",55,11,0,3,7,1
"342","17031020302","2009","PEDALCYCLIST",1,1,0,0,0,1
"343","17031020302","2009","PEDESTRIAN",2,2,0,0,1,1
"344","17031020302","2009","Vehicle/Other",30,1,0,0,0,1
"345","17031020302","2010","PEDALCYCLIST",2,2,0,0,1,1
"346","17031020302","2010","PEDESTRIAN",2,2,0,0,1,1
"347","17031020302","2010","Vehicle/Other",45,5,0,1,3,1
"348","17031020302","2011","PEDALCYCLIST",2,2,0,0,1,1
"349","17031020302","2011","PEDESTRIAN",1,1,0,0,1,0
"350","17031020302","2011","Vehicle/Other",34,2,0,0,1,1
"351","17031020302","2012","Vehicle/Other",27,3,0,0,2,1
"352","17031020302","2013","Vehicle/Other",45,4,0,1,2,1
"353","17031020302","2014","PEDALCYCLIST",1,1,0,1,0,0
"354","17031020302","2014","Vehicle/Other",42,4,0,0,3,1
"355","17031020302","2015","PEDALCYCLIST",1,1,0,0,0,1
"356","17031020302","2015","Vehicle/Other",30,0,0,0,0,0
"357","17031020302","2016","PEDESTRIAN",2,2,0,0,2,0
"358","17031020302","2016","Vehicle/Other",55,2,0,0,0,2
"359","17031020302","2017","PEDALCYCLIST",1,1,0,0,1,0
"360","17031020302","2017","PEDESTRIAN",3,3,0,0,2,1
"361","17031020302","2017","Vehicle/Other",71,12,0,0,10,2
"362","17031020400","2009","PEDESTRIAN",3,3,0,0,1,2
"363","17031020400","2009","Vehicle/Other",67,8,0,1,1,6
"364","17031020400","2010","PEDALCYCLIST",2,0,1,0,0,0
"365","17031020400","2010","PEDESTRIAN",3,4,0,0,4,0
"366","17031020400","2010","Vehicle/Other",57,7,0,0,2,5
"367","17031020400","2011","PEDESTRIAN",3,4,0,0,2,2
"368","17031020400","2011","Vehicle/Other",57,7,0,0,2,5
"369","17031020400","2012","PEDALCYCLIST",2,2,0,1,1,0
"370","17031020400","2012","PEDESTRIAN",2,2,0,0,0,2
"371","17031020400","2012","Vehicle/Other",49,8,0,0,5,3
"372","17031020400","2013","PEDALCYCLIST",2,2,0,0,2,0
"373","17031020400","2013","PEDESTRIAN",3,3,0,1,2,0
"374","17031020400","2013","Vehicle/Other",61,10,0,2,4,4
"375","17031020400","2014","PEDALCYCLIST",2,1,0,0,0,1
"376","17031020400","2014","PEDESTRIAN",1,1,0,0,0,1
"377","17031020400","2014","Vehicle/Other",72,14,0,1,7,6
"378","17031020400","2015","PEDALCYCLIST",3,3,0,0,2,1
"379","17031020400","2015","PEDESTRIAN",3,3,0,0,2,1
"380","17031020400","2015","Vehicle/Other",91,13,0,2,8,3
"381","17031020400","2016","PEDALCYCLIST",1,1,0,0,0,1
"382","17031020400","2016","PEDESTRIAN",3,4,0,1,2,1
"383","17031020400","2016","Vehicle/Other",74,20,0,0,11,9
"384","17031020400","2017","PEDESTRIAN",1,1,0,0,0,1
"385","17031020400","2017","Vehicle/Other",83,17,0,1,8,8
"386","17031020500","2009","PEDALCYCLIST",7,7,0,2,5,0
"387","17031020500","2009","PEDESTRIAN",5,4,2,0,4,0
"388","17031020500","2009","Vehicle/Other",133,15,0,2,5,8
"389","17031020500","2010","PEDALCYCLIST",1,1,0,0,1,0
"390","17031020500","2010","PEDESTRIAN",11,11,0,2,8,1
"391","17031020500","2010","Vehicle/Other",148,20,0,3,13,4
"392","17031020500","2011","PEDALCYCLIST",4,4,0,0,1,3
